# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "16" "-p" "-t" "exon" "-g" "gene_id" "-a" "reference/AmoebaDB-61_NgruberiNEG-M.gtf" "data/mapping/Ng_01_mapping.bam" "data/mapping/Ng_02_mapping.bam" "data/mapping/Ng_03_mapping.bam" "data/mapping/Ng_04_mapping.bam" "data/mapping/Ng_05_mapping.bam" "data/mapping/Ng_06_mapping.bam" "data/mapping/Ng_07_mapping.bam" "data/mapping/Ng_08_mapping.bam" "data/mapping/Ng_09_mapping.bam" "data/mapping/Ng_10_mapping.bam" "data/mapping/Ng_11_mapping.bam" "data/mapping/Ng_12_mapping.bam" "data/mapping/Ng_13_mapping.bam" "data/mapping/Ng_14_mapping.bam" "data/mapping/Ng_15_mapping.bam" "data/mapping/Ng_16_mapping.bam" "data/mapping/Ng_17_mapping.bam" "data/mapping/Ng_19_mapping.bam" "data/mapping/Ng_21_mapping.bam" "-o" "data/feature_counts/counts.txt" 
Geneid	Chr	Start	End	Strand	Length	data/mapping/Ng_01_mapping.bam	data/mapping/Ng_02_mapping.bam	data/mapping/Ng_03_mapping.bam	data/mapping/Ng_04_mapping.bam	data/mapping/Ng_05_mapping.bam	data/mapping/Ng_06_mapping.bam	data/mapping/Ng_07_mapping.bam	data/mapping/Ng_08_mapping.bam	data/mapping/Ng_09_mapping.bam	data/mapping/Ng_10_mapping.bam	data/mapping/Ng_11_mapping.bam	data/mapping/Ng_12_mapping.bam	data/mapping/Ng_13_mapping.bam	data/mapping/Ng_14_mapping.bam	data/mapping/Ng_15_mapping.bam	data/mapping/Ng_16_mapping.bam	data/mapping/Ng_17_mapping.bam	data/mapping/Ng_19_mapping.bam	data/mapping/Ng_21_mapping.bam
GENE_48326	GG738862.1	237138	238166	-	1029	199	302	66	180	367	333	314	262	897	863	1079	882	955	651	921	717	799	475	837
GENE_66423	GG738862.1;GG738862.1;GG738862.1	238419;240027;241153	239979;241045;241455	+;+;+	2883	1778	3109	175	2142	4983	4431	3362	2502	1975	1877	2243	2051	2265	464	1008	793	940	1144	2351
GENE_66424	GG738862.1	241519	242613	-	1095	25	85	37	57	330	373	403	368	1464	1342	1557	1599	1540	502	408	633	629	288	306
GENE_66425	GG738862.1	243073	244683	+	1611	0	82	0	53	97	86	109	106	413	378	396	409	451	307	341	470	482	268	241
GENE_79387	GG738862.1	244677	246766	-	2090	16387	26760	2008	34573	12675	11387	10543	10540	8003	5863	5952	7539	7715	27466	35838	39149	41356	16630	25262
GENE_48332	GG738862.1	249692	251278	+	1587	115	157	101	95	130	92	87	83	566	497	420	544	579	161	179	300	329	251	229
GENE_3144	GG738862.1;GG738862.1;GG738862.1	253023;253285;253569	253229;253523;253725	+;+;+	603	41	107	5	88	104	101	111	106	270	274	276	323	302	346	254	331	384	757	635
GENE_t258	GG738862.1	253856	253926	+	71	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	6	2
GENE_3627	GG738862.1;GG738862.1	255821;256021	255981;256516	-;-	657	356	574	79	558	610	485	436	455	217	315	315	278	294	662	461	651	755	1014	761
GENE_79388	GG738862.1	256658	259255	-	2598	535	892	379	1105	590	538	710	1013	817	1362	1322	1145	1070	2985	3301	2788	3218	2369	3217
GENE_48335	GG738862.1;GG738862.1	262040;265826	265763;266391	-;-	4290	98	159	54	64	68	50	50	86	964	896	941	1043	1105	1426	349	382	430	664	930
GENE_66433	GG738862.1;GG738862.1	266674;267637	267586;267986	+;+	1263	18	40	0	43	108	101	86	77	438	381	424	411	479	73	80	120	94	227	122
GENE_66434	GG738862.1	268236	269357	+	1122	0	7	25	9	3	2	2	3	22	31	15	31	36	7	8	17	15	62	61
GENE_66435	GG738862.1	271855	273939	-	2085	75	81	52	71	212	216	198	165	429	420	398	483	437	232	252	294	394	395	680
GENE_36356	GG738862.1;GG738862.1	274947;275094	275000;275783	-;-	744	57049	74081	44394	73410	98806	101675	100783	88726	57592	55541	64305	57437	61017	152111	92637	79480	84922	62311	15136
GENE_79390	GG738862.1;GG738862.1;GG738862.1;GG738862.1	276424;276697;277452;277837	276533;277403;277793;278637	+;+;+;+	1960	249	333	137	367	540	513	540	530	392	386	433	421	412	794	1125	1410	1519	778	652
GENE_48339	GG738862.1	278627	279874	-	1248	35	41	57	30	43	34	34	21	14	12	15	18	13	111	94	143	145	316	134
GENE_36359	GG738862.1;GG738862.1;GG738862.1	280243;280723;281093	280662;281050;282271	-;-;-	1927	8896	16106	1430	22007	7376	6966	6383	8631	6888	11742	11555	9659	9271	22529	28109	24895	28554	12403	11056
GENE_48341	GG738862.1	282891	283592	+	702	97	67	0	145	28	31	28	52	21	61	39	51	34	322	220	127	142	229	46
GENE_66441	GG738862.1	283829	285853	-	2025	15	28	32	33	46	53	47	55	323	338	341	343	318	150	208	292	366	105	28
GENE_32902	GG738862.1	286044	287132	+	1089	7	14	21	19	24	20	15	16	171	167	185	178	190	53	40	61	64	84	124
GENE_66443	GG738862.1	287215	289236	-	2022	43	101	100	99	97	69	64	58	298	300	340	348	330	593	1919	545	529	57	99
GENE_48345	GG738862.1	289572	290561	+	990	858	1632	221	2560	560	619	513	599	97	94	126	81	137	1160	1364	944	986	1107	1254
GENE_48346	GG738862.1;GG738862.1;GG738862.1	290700;292769;294584	291589;294478;294962	-;-;-	2979	32	114	0	191	232	198	139	105	160	142	183	172	162	1092	2936	1375	1355	132	200
GENE_t264	GG738862.1	295272	295343	-	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GENE_66447	GG738862.1	295398	296156	-	759	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	3	2
GENE_32888	GG738862.1;GG738862.1;GG738862.1	298124;298755;299302	298710;299232;299928	-;-;-	1692	25	54	9	41	109	106	87	93	1540	1381	1600	1726	1672	137	125	117	135	332	512
GENE_66449	GG738862.1	300925	301818	+	894	0	2	0	0	5	5	3	2	34	31	39	41	43	6	3	23	8	7	0
GENE_66450	GG738862.1	302109	302522	+	414	0	0	0	0	0	0	2	0	11	20	32	20	18	0	1	1	0	3	0
GENE_48349	GG738862.1	304368	306302	+	1935	0	40	67	37	53	46	55	40	56	49	58	59	70	36	50	39	67	64	83
GENE_66452	GG738862.1	306849	308240	-	1392	235	387	31	548	139	139	113	156	15	16	14	11	8	845	1689	1381	1692	35	21
GENE_79393	GG738862.1	309157	310345	+	1189	228	180	14	234	998	971	900	799	518	466	628	490	478	750	1189	1185	1261	166	178
GENE_66454	GG738862.1;GG738862.1	310708;311674	311629;311732	+;+	981	69	37	0	26	131	125	102	87	225	147	182	188	196	437	877	371	357	4	6
GENE_48352	GG738862.1	311936	313198	-	1263	149	167	87	244	711	708	550	496	336	341	382	396	350	1024	2020	1434	1619	148	136
GENE_79394	GG738862.1;GG738862.1	313302;313782	313737;315722	+;+	2377	39	55	0	51	373	335	299	255	447	375	385	464	464	420	1071	549	584	86	107
GENE_66457	GG738862.1;GG738862.1	316761;317337	317205;317653	+;+	762	89	81	0	87	264	273	191	156	55	57	62	57	61	78	998	473	503	1	9
GENE_66458	GG738862.1	317831	318358	+	528	0	8	0	13	15	18	17	18	70	72	73	70	83	8	0	18	11	3	2
GENE_66459	GG738862.1;GG738862.1;GG738862.1	318999;320988;321493	320814;321404;321581	+;+;+	2322	0	27	3	15	27	47	40	40	62	67	71	54	89	10	25	41	41	29	31
GENE_79395	GG738862.1	321593	323281	-	1689	232	220	40	248	964	971	840	604	551	571	651	598	591	770	2039	1786	1815	96	140
GENE_57766	GG738862.1;GG738862.1;GG738862.1;GG738862.1;GG738862.1	325242;325474;325606;325996;326158	325423;325565;325951;326118;326807	-;-;-;-;-	1393	573	763	143	710	1680	1734	1889	1831	253	247	354	247	267	2298	2506	2740	2973	1318	1506
GENE_66462	GG738862.1;GG738862.1;GG738862.1	327188;327497;328424	327451;328323;328454	-;-;-	1122	17	34	0	24	54	43	53	46	68	72	79	78	82	54	56	64	77	23	16
GENE_57767	GG738862.1	329228	332693	-	3466	2879	5204	1087	6115	3751	3814	3996	3408	4400	4133	4471	4670	4803	2207	2320	3001	3312	8778	14594
GENE_88206	GG738862.1;GG738862.1;GG738862.1	333469;333693;334379	333653;334332;334912	-;-;-	1359	27	29	23	61	88	93	86	99	292	277	314	332	337	305	287	418	475	137	103
GENE_57768	GG738862.1;GG738862.1;GG738862.1	334920;336389;336761	336339;336696;337210	-;-;-	2178	616	1134	219	1378	809	819	860	935	2136	1989	2170	2214	2173	1330	1447	1766	1821	2738	3759
GENE_66465	GG738862.1	337637	338512	+	876	0	11	0	7	0	3	1	1	3	5	1	0	0	119	41	25	46	60	191
GENE_66466	GG738862.1	338571	343031	-	4461	72	173	38	107	212	114	181	191	595	567	563	647	573	433	547	633	731	625	796
GENE_79399	GG738862.1;GG738862.1	343145;344784	344738;345141	-;-	1952	751	1331	136	1759	511	493	505	621	1972	2892	2802	2640	2520	1163	2055	1707	1839	694	1203
GENE_79400	GG738862.1;GG738862.1	345555;345922	345761;346115	+;+	401	8914	13588	2476	22065	22405	26215	26696	21253	1467	1502	1816	1582	1500	14525	6950	9148	9217	4792	7604
GENE_79401	GG738862.1	346423	347075	+	653	163	206	62	241	248	189	175	138	2960	2876	3675	3151	3221	14	7	28	28	223	578
GENE_79402	GG738862.1	347193	349149	-	1957	30	65	0	47	81	84	61	73	184	144	154	182	164	462	426	321	394	196	15
GENE_79403	GG738862.1;GG738862.1;GG738862.1;GG738862.1	349621;350240;350392;350551	350175;350347;350507;352083	+;+;+;+	2312	42	122	35	188	173	205	193	247	583	560	619	629	541	86	133	145	146	183	260
GENE_66472	GG738862.1	352279	352920	-	642	0	2	0	3	0	2	0	1	2	6	3	6	5	10	10	8	8	1	0
GENE_t263	GG738862.1	353371	353443	-	73	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
GENE_t262	GG738862.1	353563	353633	-	71	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
GENE_57772	GG738862.1;GG738862.1	353734;354977	354934;356221	-;-	2446	6105	11107	350	14556	9967	10072	8328	7116	5598	4791	5304	5367	5563	6676	13063	8050	8408	7988	6496
GENE_57773	GG738862.1	357265	359086	+	1822	334	463	40	682	370	293	278	373	834	708	767	846	856	671	745	678	985	720	779
GENE_48365	GG738862.1	359162	360352	-	1191	36	25	0	10	88	57	102	135	21	37	67	36	37	2486	2822	538	934	50	18
GENE_79406	GG738862.1;GG738862.1	361171;361620	361582;363251	+;+	2044	95	132	68	123	404	403	426	365	746	766	829	769	806	308	341	347	318	390	435
GENE_79407	GG738862.1	363372	366035	-	2664	15061	23835	7390	30725	50260	57474	57554	47034	7077	6676	7946	7295	7424	35454	35539	36776	39771	34935	60232
GENE_88117	GG738862.1;GG738862.1;GG738862.1	366625;367104;367230	367052;367179;370537	-;-;-	3812	348	774	153	985	737	737	811	944	1065	1174	1264	1134	1212	1173	1437	1303	1531	1797	2654
GENE_t261	GG738862.1	370716	370786	-	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GENE_88116	GG738862.1;GG738862.1	370855;371327	371276;371930	-;-	1026	0	11	0	18	20	19	18	18	65	62	73	72	52	82	48	61	73	35	16
GENE_66479	GG738862.1	372597	374159	+	1563	0	1	0	1	0	0	1	4	2717	2924	4200	3180	3131	18	4	11	10	5	3
GENE_66480	GG738862.1	374187	376814	-	2628	301	540	27	772	343	296	348	677	350	809	731	577	485	972	1811	1853	2235	341	120
GENE_48370	GG738862.1	377011	378495	+	1485	62	84	0	86	156	128	135	92	6	7	27	9	12	0	0	5	13	4	0
GENE_66482	GG738862.1	379053	382106	+	3054	0	0	0	0	0	0	1	4	1	0	1	0	0	0	0	0	0	4	0
GENE_t259	GG738862.1	382163	382253	+	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GENE_57776	GG738862.1	382329	383271	-	943	461	415	372	487	893	946	793	655	763	693	916	859	732	2310	1679	1539	1521	314	223
GENE_66484	GG738862.1	384099	385418	-	1320	0	13	0	5	14	15	6	7	46	47	68	45	51	13	13	19	16	27	46
GENE_79410	GG738862.1	385719	387186	-	1468	452	600	221	453	585	541	454	372	5354	5678	6104	5812	5911	6189	5446	2648	2849	2255	3224
GENE_66486	GG738862.1;GG738862.1;GG738862.1	388672;389132;390186	389081;390144;390892	-;-;-	2130	62	29	35	42	54	59	71	50	108	125	134	126	165	83	104	181	200	189	174
GENE_48376	GG738862.1	392058	393347	-	1290	0	14	0	17	7	16	20	22	126	178	173	171	167	109	124	153	163	64	29
GENE_79411	GG738862.1;GG738862.1;GG738862.1;GG738862.1	393760;394126;394484;394786	393985;394436;394742;396404	+;+;+;+	2415	218	424	311	442	917	993	1050	1003	3221	2952	3273	3440	3382	1845	1737	2023	2263	1869	1911
GENE_48378	GG738862.1;GG738862.1	397577;397848	397790;398662	+;+	1029	0	0	0	0	1	0	0	0	1	0	5	4	2	11	7	9	17	0	0
GENE_66490	GG738862.1	398747	399883	-	1137	0	1	27	0	0	4	1	3	0	0	2	3	0	2	1	0	0	0	0
GENE_48380	GG738862.1;GG738862.1;GG738862.1;GG738862.1;GG738862.1;GG738862.1;GG738862.1	400042;402382;403790;404784;405662;407217;409702	402199;402874;404451;405415;406538;409644;409891	-;-;-;-;-;-;-	7440	103	127	116	211	287	331	307	255	229	227	318	287	283	239	222	334	483	758	1135
GENE_t260	GG738862.1	403235	403307	-	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GENE_66493	GG738862.1;GG738862.1;GG738862.1;GG738862.1	410203;410481;410812;411098	410309;410635;410891;411352	+;+;+;+	597	213	187	190	168	165	209	222	129	582	449	565	518	570	593	215	245	231	198	74
GENE_32869	GG738862.1	411701	412057	-	357	145	152	100	216	273	338	316	249	478	442	526	533	512	1447	726	915	925	832	806
GENE_66495	GG738862.1;GG738862.1	412325;412715	412495;413449	+;+	906	156	306	57	342	397	379	412	384	697	661	760	638	696	860	689	752	755	797	809
GENE_66496	GG738862.1	413597	414139	-	543	0	14	0	12	9	24	23	17	13	15	13	4	18	11	2	13	8	68	104
GENE_66497	GG738862.1	414699	417218	+	2520	0	3	0	5	19	10	4	5	479	398	388	429	501	3	3	2	3	4	1
GENE_66498	GG738862.1	417379	418038	-	660	0	5	19	5	6	2	4	13	18	14	6	8	10	106	98	121	145	31	20
GENE_66499	GG738862.1	418601	419062	+	462	7	7	0	9	5	4	7	2	21	34	60	37	49	47	28	24	23	21	20
GENE_66500	GG738862.1	421540	422622	-	1083	0	0	0	0	0	0	0	0	1	1	1	0	0	0	10	1	0	0	0
GENE_66501	GG738862.1	423245	424231	+	987	18	4	0	0	3	2	2	2	39	26	27	30	37	0	2	3	4	2	0
GENE_66502	GG738862.1	424886	425452	+	567	0	5	0	4	4	3	8	5	36	41	32	36	41	0	2	4	6	8	6
GENE_66503	GG738862.1	425668	426828	+	1161	0	14	25	8	25	16	23	24	121	101	115	107	137	20	6	13	22	187	166
GENE_66504	GG738862.1	427699	428334	-	636	0	0	0	0	0	0	0	0	4	0	3	4	10	0	1	0	0	3	1
GENE_57779	GG738862.1	428475	429423	-	949	77	94	0	100	194	215	204	232	374	410	504	404	426	1142	946	916	954	592	432
GENE_48386	GG738862.1	429902	430483	+	582	33	43	14	57	22	32	19	17	152	164	221	150	147	73	37	25	20	96	87
GENE_66507	GG738862.1	430716	431357	+	642	239	368	0	490	192	200	157	267	144	249	306	204	153	1480	756	471	505	624	635
GENE_66508	GG738862.1	431573	433123	+	1551	0	15	0	15	8	7	9	8	19	29	23	31	17	28	27	31	39	10	13
GENE_66509	GG738862.1	433256	433849	+	594	0	2	0	3	2	0	0	3	2	0	0	0	0	0	0	0	1	0	2
GENE_66510	GG738862.1	434696	436606	+	1911	217	289	38	313	226	209	181	192	606	593	714	662	679	402	668	416	506	190	356
GENE_66512	GG738862.1	440215	440913	-	699	506	851	641	973	2837	2789	2160	1787	8	12	7	8	4	1089	1095	1574	1594	61	21
GENE_57780	GG738862.1	443175	452403	-	9229	682	1102	173	918	1332	1167	1407	1444	307	314	359	337	351	594	410	348	352	3504	4090
GENE_66514	GG738862.1	452584	453150	-	567	0	7	0	4	2	2	1	2	18	40	30	25	22	29	10	24	11	56	21
GENE_32830	GG738862.1;GG738862.1;GG738862.1	454180;454517;454876	454405;454800;455325	-;-;-	960	450	701	78	863	800	820	644	731	372	489	520	528	462	204	664	729	866	116	144
GENE_48390	GG738862.1	457284	458963	-	1680	0	1	14	0	0	0	1	0	0	0	0	1	0	1	0	1	0	4	0
GENE_66517	GG738862.1	459175	460674	-	1500	20	8	0	8	18	20	28	25	64	71	69	91	98	66	69	148	110	83	101
GENE_48391	GG738862.1	460676	461287	-	612	0	6	0	12	15	13	23	11	37	39	38	30	34	16	37	63	70	13	15
GENE_66518	GG738862.1	462161	463255	-	1095	0	2	15	1	0	0	4	1	4	2	5	2	7	0	1	1	0	5	1
GENE_57782	GG738862.1	463609	464501	+	893	112	231	14	376	215	253	269	252	1684	1385	1553	1517	1693	761	534	636	570	629	921
GENE_79416	GG738862.1;GG738862.1;GG738862.1;GG738862.1	464498;465439;465552;465745	465384;465499;465655;465985	-;-;-;-	1293	220	546	76	919	522	644	744	694	5463	4853	4938	5440	5606	1051	1700	1379	1569	438	498
GENE_66521	GG738862.1	466379	467536	+	1158	0	3	0	8	2	2	0	6	28	28	35	24	41	1	0	5	14	19	34
GENE_88141	GG738862.1;GG738862.1	468080;468458	468447;469229	+;+	1140	0	10	63	0	3	2	7	5	263	233	246	265	304	11	21	36	45	18	37
GENE_66524	GG738862.1	469399	469827	-	429	0	3	0	0	0	2	0	0	51	45	43	58	49	9	6	7	7	21	22
GENE_56126	GG738862.1	469956	471028	-	1073	926	1474	283	1513	1257	1515	1459	1250	482	483	541	529	586	1297	1115	1096	1188	2646	2898
GENE_79418	GG738862.1;GG738862.1	471263;472454	472409;472788	-;-	1482	32	48	9	81	217	241	259	253	4192	4265	4693	4565	4621	622	767	833	921	1439	1286
GENE_79419	GG738862.1	472996	474369	-	1374	187	245	153	294	362	360	384	415	135	131	187	183	165	343	410	817	953	636	797
GENE_79420	GG738862.1	475462	478497	+	3036	238	318	41	232	304	233	225	282	2182	1806	1948	2142	2207	102	349	625	708	89	143
GENE_79421	GG738862.1;GG738862.1;GG738862.1	476717;478745;479854	478695;479753;480785	-;-;-	3920	89	153	9	101	381	345	359	364	1556	1305	1447	1613	1524	257	1044	1132	1398	62	76
GENE_66530	GG738862.1;GG738862.1	481011;481730	481685;482176	+;+	1122	188	309	214	347	875	1020	1124	893	344	249	330	331	309	732	630	637	646	438	179
GENE_79423	GG738862.1	482636	485613	+	2978	1276	1897	183	2177	5327	7318	7299	5482	1931	1644	1975	1999	1940	110	139	250	306	725	68
GENE_77350	GG738862.1;GG738862.1;GG738862.1	486276;486721;487384	486371;487199;488369	+;+;+	1561	2902	4031	3323	6397	3941	3372	3034	2094	2839	2907	2841	2844	2972	5567	4125	5451	6335	839	257
GENE_66534	GG738862.1	488681	488995	+	315	33	49	27	72	93	85	74	98	112	83	119	136	113	628	396	580	566	163	74
GENE_4896	GG738862.1;GG738862.1	493320;493471	493413;493805	+;+	429	0	4	0	3	6	2	11	9	11	13	13	18	12	24	20	41	40	11	12
GENE_66536	GG738862.1	495262	495627	+	366	0	1	0	1	1	0	0	1	150	167	146	160	157	18	1	14	2	61	7
GENE_76761	GG739133.1	4	475	-	472	28	97	31	134	87	81	69	74	93	119	118	108	107	18	80	113	122	93	159
GENE_76762	GG739133.1	1115	1882	+	768	22	90	20	75	87	82	77	85	157	133	209	196	159	203	211	184	168	151	268
GENE_76812	GG739166.1	249	674	+	426	0	3	0	2	0	0	0	0	0	1	1	0	0	0	0	0	1	0	2
GENE_76813	GG739166.1	1714	2280	+	567	0	1	0	1	5	6	10	6	23	23	27	29	47	40	26	32	39	7	6
GENE_76814	GG739166.1	2651	3181	+	531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GENE_76815	GG739166.1	3274	3927	-	654	582	886	365	805	75	89	55	71	74	48	80	79	92	2715	4471	1321	1304	355	740
GENE_76816	GG739166.1;GG739166.1	4423;4825	4774;4973	+;+	501	11	39	0	34	3	4	3	2	9	4	6	4	8	63	190	54	66	12	6
GENE_76505	GG739008.1	56	406	+	351	0	1	0	5	5	2	7	2	10	13	17	14	10	23	7	12	12	19	40
GENE_t871	GG739008.1	526	597	+	72	0	0	0	0	0	0	0	1	9	2	3	4	1	0	0	0	0	1	0
GENE_t872	GG739008.1	4028	4108	-	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GENE_54720	GG739008.1	4462	4944	+	483	132	341	136	287	183	72	32	29	429	375	374	322	373	77	15	3	10	65	127
GENE_54721	GG739008.1	5931	7661	+	1731	97	142	137	187	259	258	222	199	88	83	85	91	93	1380	922	1219	1393	445	305
GENE_76508	GG739008.1	7745	8125	-	381	0	0	0	0	0	0	0	0	38	52	39	45	34	0	0	0	0	2	3
GENE_76509	GG739008.1	9415	10194	+	780	116	115	22	102	80	88	105	78	130	101	126	124	162	251	205	246	276	119	69
GENE_82341	GG739008.1;GG739008.1	10285;10871	10770;10896	-;-	512	3774	5442	935	4691	7914	3202	2708	3812	3176	2651	715	4614	3507	1033	1887	5567	3778	419	365
GENE_76335	GG738962.1;GG738962.1	89;278	231;1169	+;+	1035	12	17	0	17	105	146	127	98	5737	6263	7216	6183	6480	90	87	86	64	54	6
GENE_82320	GG738962.1;GG738962.1;GG738962.1;GG738962.1;GG738962.1;GG738962.1	1361;1560;1710;1838;1960;2149	1492;1645;1762;1910;2102;2658	+;+;+;+;+;+	997	1559	2699	219	3462	4168	4128	3377	2401	2182	2247	3240	2390	2477	2008	1407	2015	2287	307	167
GENE_76337	GG738962.1	2761	3474	-	714	1305	1852	321	1467	3968	4000	3464	3112	338	337	573	361	317	67	58	40	37	815	477
GENE_82321	GG738962.1	3654	4583	-	930	283	452	70	427	617	657	758	789	4297	4423	4506	4574	4603	1142	894	1279	1445	2392	3173
GENE_76339	GG738962.1	5635	7344	+	1710	265	597	145	288	481	400	451	366	28623	25808	33015	28932	29299	58	72	98	85	1001	1606
GENE_76340	GG738962.1	7479	8177	+	699	621	1125	87	1489	202	169	201	219	1137	1166	1152	1169	1187	355	243	207	224	596	892
GENE_82322	GG738962.1	8362	9128	+	767	2188	2763	494	3838	10790	11928	11918	10139	41	32	41	41	29	16016	10416	13255	15182	2117	385
GENE_76342	GG738962.1	10523	11182	-	660	56	137	43	128	59	52	67	107	14	25	25	31	21	3	4	4	8	662	1069
GENE_76343	GG738962.1	17419	18081	+	663	77	102	0	124	19	14	6	20	576	517	565	561	596	25	32	11	11	112	152
GENE_44902	GG739100.1	488	1603	-	1116	2	13	0	16	31	28	27	27	38	49	45	52	62	48	32	52	28	72	77
GENE_76711	GG739100.1	6640	7116	+	477	16	10	0	14	26	14	15	16	66	66	72	67	70	83	41	46	40	196	97
GENE_54428	GG738932.1	1	380	+	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
GENE_75957	GG738932.1	6311	7738	-	1428	15	16	0	7	47	63	46	31	51	38	39	50	58	11	57	53	79	4	5
GENE_75958	GG738932.1;GG738932.1	8351;8683	8644;10014	-;-	1626	12	23	29	26	58	51	71	60	65	59	77	56	58	150	203	276	310	73	34
GENE_44881	GG738932.1	10785	12137	+	1353	0	54	20	56	39	41	35	37	40	39	54	45	39	57	28	63	52	110	152
GENE_75960	GG738932.1	13586	21511	-	7926	0	0	0	0	0	0	0	0	5	4	3	2	3	0	0	0	0	0	0
GENE_75961	GG738932.1;GG738932.1;GG738932.1	22444;23514;24291	23456;24242;24606	-;-;-	2058	0	10	0	1	0	0	2	0	433	367	372	465	412	5	0	0	2	12	13
GENE_75962	GG738932.1	25589	25954	-	366	46	99	73	135	147	120	112	77	14	6	27	8	9	38	6	2	8	213	465
GENE_75963	GG738932.1	26396	26908	-	513	85	117	0	88	288	286	288	285	23	36	274	27	53	47	26	6	7	117	412
GENE_75964	GG738932.1	27334	28011	-	678	186	394	170	701	1607	1781	2329	1818	28	17	47	13	24	3054	2064	486	741	516	435
GENE_82238	GG738932.1	28944	31018	+	2075	1199	1765	409	1909	2225	2062	2378	1875	2844	2588	3033	2912	2965	1868	2072	1210	1493	2117	1996
GENE_75966	GG738932.1	34282	34584	+	303	13	43	0	68	75	82	77	72	54	69	73	50	65	46	30	102	84	136	214
GENE_75967	GG738932.1	35580	35975	+	396	0	1	0	4	0	1	4	0	0	2	5	1	2	1	0	0	0	2	1
GENE_75968	GG738932.1	36589	37038	+	450	191	129	0	417	644	792	833	978	171	193	223	199	200	672	182	13	43	327	142
GENE_54432	GG738932.1	38834	39751	-	918	212	331	150	299	693	711	631	547	1150	1138	1232	1163	1188	1693	1515	1664	1720	921	1065
GENE_54433	GG738932.1;GG738932.1	41084;41334	41250;41940	+;+	774	264	269	0	232	869	720	792	743	1440	1411	1538	1594	1565	1810	2406	2540	3092	697	354
GENE_82239	GG738932.1	42701	43343	+	643	4198	7484	344	9235	1388	1588	1741	1548	349	330	416	331	372	613	343	632	763	3086	3592
GENE_75972	GG738932.1;GG738932.1;GG738932.1	43467;43950;44151	43903;44090;44808	-;-;-	1236	102	133	0	140	209	208	192	168	2994	2823	3191	3018	3198	478	479	576	707	413	502
GENE_t829	GG738932.1	44966	45038	+	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GENE_75973	GG738932.1	45155	46084	-	930	0	0	0	2	0	1	3	0	2	2	1	0	0	5	2	3	0	12	6
GENE_54436	GG738932.1;GG738932.1;GG738932.1	49784;50880;52125	50512;51711;52699	+;+;+	2136	148	200	173	200	326	269	311	327	1709	1855	1832	1898	1959	632	843	1230	1377	733	872
GENE_75977	GG738932.1;GG738932.1;GG738932.1	53325;53951;54720	53866;54597;55366	-;-;-	1836	94	235	61	160	318	256	277	283	409	385	401	458	418	856	906	973	1245	664	550
GENE_75978	GG738932.1	56717	57394	+	678	0	11	0	9	0	10	6	13	79	71	53	77	80	116	46	100	96	57	36
GENE_60017	GG738932.1;GG738932.1	57500;58300	58207;59046	-;-	1455	184	370	203	283	1032	1006	1003	933	4343	4357	4724	4740	4676	4622	4157	3823	4595	500	340
GENE_t833	GG738932.1	59399	59470	-	72	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	3	5
GENE_75980	GG738932.1	59667	61103	-	1437	104	164	0	202	96	109	99	100	162	192	207	194	197	241	269	352	412	207	167
GENE_82242	GG738932.1;GG738932.1;GG738932.1	61252;61929;62491	61880;62406;63528	-;-;-	2145	0	21	17	20	32	31	35	27	21	11	17	24	24	2	8	16	9	8	27
GENE_82243	GG738932.1	63932	64453	-	522	148	387	193	371	295	252	228	207	285	304	358	335	289	1089	710	634	718	1012	762
GENE_75983	GG738932.1	64539	65030	-	492	0	11	0	8	26	22	22	22	14	51	30	19	44	9	17	10	10	43	97
GENE_54441	GG738932.1	65335	66816	-	1482	418	540	227	914	2389	2843	2806	2509	993	957	1157	1022	1016	279	257	258	330	994	1768
GENE_54442	GG738932.1	68501	70450	+	1950	0	0	0	0	0	0	0	0	2	0	1	0	3	2	0	0	0	0	1
GENE_54443	GG738932.1	71360	72112	-	753	45	80	79	57	33	21	72	65	54	29	38	55	44	85	82	109	135	667	1185
GENE_82244	GG738932.1;GG738932.1;GG738932.1	73260;75225;76324	74609;76278;77228	+;+;+	3309	596	810	301	1104	1285	1458	1539	1388	2290	2037	2435	2353	2333	2284	2449	2768	2983	2074	3165
GENE_t832	GG738932.1	74744	74816	-	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
